name	craft	giTag	district	state	coordinates	significance	odopProduct	heritageNote	description	Address	Looms Available	Weaver / Owner
Artisan UTT-111	Chikankari Embroidery	N/A	Lucknow	Uttar Pradesh	[26.8467, 80.9462]	9	Chikankari Embroidery Specialty	Exquisite white shadow-work textile artistry involving delicate hand blocks.	Master craft specialist creating premium Chikankari Embroidery. Registered generational family unit.	Artisan Cluster, Lucknow, Uttar Pradesh	N/A	Artisan UTT-111
Artisan UTT-112	Zardozi Art	N/A	Bareilly	Uttar Pradesh	[28.3670, 79.4304]	8	Zardozi Art Specialty	Heavy gold embroidery detailing done using metal wire, pearls, and beads.	Master craft specialist creating premium Zardozi Art. Registered generational family unit.	Artisan Cluster, Bareilly, Uttar Pradesh	N/A	Artisan UTT-112
Artisan UTT-113	Handmade Carpets	N/A	Bhadohi	Uttar Pradesh	[25.3905, 82.5702]	9	Handmade Carpets Specialty	World-famous hand-knotted woolen and silk floor rugs woven since the Mughal era.	Master craft specialist creating premium Handmade Carpets. Registered generational family unit.	Artisan Cluster, Bhadohi, Uttar Pradesh	N/A	Artisan UTT-113
Artisan UTT-114	Glass Bangles	N/A	Firozabad	Uttar Pradesh	[27.1513, 78.3942]	8	Glass Bangles Specialty	Centuries-old glassblowing traditions forming rich multi-colored glass bangles.	Master craft specialist creating premium Glass Bangles. Registered generational family unit.	Artisan Cluster, Firozabad, Uttar Pradesh	N/A	Artisan UTT-114
Artisan UTT-115	Moradabad Brassware	N/A	Moradabad	Uttar Pradesh	[28.8351, 78.7733]	9	Moradabad Brassware Specialty	Elegant engraved and lacquered brass sheet vessels and decor statuettes.	Master craft specialist creating premium Moradabad Brassware. Registered generational family unit.	Artisan Cluster, Moradabad, Uttar Pradesh	N/A	Artisan UTT-115
Artisan UTT-101	Aipan Painting	N/A	Almora	Uttarakhand	[29.5892, 79.6443]	9	Aipan Painting Specialty	Ritualistic floor art rendered over geru red clay bases using white rice paste.	Master craft specialist creating premium Aipan Painting. Registered generational family unit.	Artisan Cluster, Almora, Uttarakhand	N/A	Artisan UTT-101
Artisan UTT-102	Ringaal Bamboo Craft	N/A	Chamoli	Uttarakhand	[30.4158, 79.3242]	8	Ringaal Bamboo Craft Specialty	Utility mats and storage baskets tightly woven from local high-altitude hill dwarf bamboo.	Master craft specialist creating premium Ringaal Bamboo Craft. Registered generational family unit.	Artisan Cluster, Chamoli, Uttarakhand	N/A	Artisan UTT-102
Artisan UTT-103	Tamta Copper Ware	N/A	Almora	Uttarakhand	[29.5912, 79.6421]	9	Tamta Copper Ware Specialty	Hand-hammered heavy cooking vessels crafted by the heritage Tamta community artisans.	Master craft specialist creating premium Tamta Copper Ware. Registered generational family unit.	Artisan Cluster, Almora, Uttarakhand	N/A	Artisan UTT-103
Artisan UTT-104	Aipan Painting	N/A	Almora	Uttarakhand	[29.5892, 79.6443]	8	Aipan Painting Specialty	Ritualistic floor art rendered over geru red clay bases using white rice paste.	Master craft specialist creating premium Aipan Painting. Registered generational family unit.	Artisan Cluster, Almora, Uttarakhand	N/A	Artisan UTT-104
Artisan UTT-105	Ringaal Bamboo Craft	N/A	Chamoli	Uttarakhand	[30.4158, 79.3242]	9	Ringaal Bamboo Craft Specialty	Utility mats and storage baskets tightly woven from local high-altitude hill dwarf bamboo.	Master craft specialist creating premium Ringaal Bamboo Craft. Registered generational family unit.	Artisan Cluster, Chamoli, Uttarakhand	N/A	Artisan UTT-105
Artisan UTT-106	Tamta Copper Ware	N/A	Almora	Uttarakhand	[29.5912, 79.6421]	8	Tamta Copper Ware Specialty	Hand-hammered heavy cooking vessels crafted by the heritage Tamta community artisans.	Master craft specialist creating premium Tamta Copper Ware. Registered generational family unit.	Artisan Cluster, Almora, Uttarakhand	N/A	Artisan UTT-106
Artisan UTT-107	Aipan Painting	N/A	Almora	Uttarakhand	[29.5892, 79.6443]	9	Aipan Painting Specialty	Ritualistic floor art rendered over geru red clay bases using white rice paste.	Master craft specialist creating premium Aipan Painting. Registered generational family unit.	Artisan Cluster, Almora, Uttarakhand	N/A	Artisan UTT-107
Artisan UTT-108	Ringaal Bamboo Craft	N/A	Chamoli	Uttarakhand	[30.4158, 79.3242]	8	Ringaal Bamboo Craft Specialty	Utility mats and storage baskets tightly woven from local high-altitude hill dwarf bamboo.	Master craft specialist creating premium Ringaal Bamboo Craft. Registered generational family unit.	Artisan Cluster, Chamoli, Uttarakhand	N/A	Artisan UTT-108
Artisan UTT-109	Tamta Copper Ware	N/A	Almora	Uttarakhand	[29.5912, 79.6421]	9	Tamta Copper Ware Specialty	Hand-hammered heavy cooking vessels crafted by the heritage Tamta community artisans.	Master craft specialist creating premium Tamta Copper Ware. Registered generational family unit.	Artisan Cluster, Almora, Uttarakhand	N/A	Artisan UTT-109
Artisan UTT-110	Aipan Painting	N/A	Almora	Uttarakhand	[29.5892, 79.6443]	8	Aipan Painting Specialty	Ritualistic floor art rendered over geru red clay bases using white rice paste.	Master craft specialist creating premium Aipan Painting. Registered generational family unit.	Artisan Cluster, Almora, Uttarakhand	N/A	Artisan UTT-110
Artisan UTT-111	Ringaal Bamboo Craft	N/A	Chamoli	Uttarakhand	[30.4158, 79.3242]	9	Ringaal Bamboo Craft Specialty	Utility mats and storage baskets tightly woven from local high-altitude hill dwarf bamboo.	Master craft specialist creating premium Ringaal Bamboo Craft. Registered generational family unit.	Artisan Cluster, Chamoli, Uttarakhand	N/A	Artisan UTT-111
Artisan UTT-112	Tamta Copper Ware	N/A	Almora	Uttarakhand	[29.5912, 79.6421]	8	Tamta Copper Ware Specialty	Hand-hammered heavy cooking vessels crafted by the heritage Tamta community artisans.	Master craft specialist creating premium Tamta Copper Ware. Registered generational family unit.	Artisan Cluster, Almora, Uttarakhand	N/A	Artisan UTT-112
Artisan UTT-113	Aipan Painting	N/A	Almora	Uttarakhand	[29.5892, 79.6443]	9	Aipan Painting Specialty	Ritualistic floor art rendered over geru red clay bases using white rice paste.	Master craft specialist creating premium Aipan Painting. Registered generational family unit.	Artisan Cluster, Almora, Uttarakhand	N/A	Artisan UTT-113
Artisan UTT-114	Ringaal Bamboo Craft	N/A	Chamoli	Uttarakhand	[30.4158, 79.3242]	8	Ringaal Bamboo Craft Specialty	Utility mats and storage baskets tightly woven from local high-altitude hill dwarf bamboo.	Master craft specialist creating premium Ringaal Bamboo Craft. Registered generational family unit.	Artisan Cluster, Chamoli, Uttarakhand	N/A	Artisan UTT-114
Artisan UTT-115	Tamta Copper Ware	N/A	Almora	Uttarakhand	[29.5912, 79.6421]	9	Tamta Copper Ware Specialty	Hand-hammered heavy cooking vessels crafted by the heritage Tamta community artisans.	Master craft specialist creating premium Tamta Copper Ware. Registered generational family unit.	Artisan Cluster, Almora, Uttarakhand	N/A	Artisan UTT-115
Artisan RAJ-101	Bandhej Tie-Dye	N/A	Jodhpur	Rajasthan	[26.2389, 73.0243]	9	Bandhej Tie-Dye Specialty	Fine resist-dye technique forming micro dot grids entirely hand-knotted.	Master craft specialist creating premium Bandhej Tie-Dye. Registered generational family unit.	Artisan Cluster, Jodhpur, Rajasthan	N/A	Artisan RAJ-101
Artisan RAJ-102	Block Printing	N/A	Sanganer	Rajasthan	[26.8167, 75.7833]	8	Block Printing Specialty	Symmetrical floral patterns hand-stamped onto cotton textiles using carved wooden blocks.	Master craft specialist creating premium Block Printing. Registered generational family unit.	Artisan Cluster, Sanganer, Rajasthan	N/A	Artisan RAJ-102
Artisan RAJ-103	Blue Pottery	N/A	Jaipur	Rajasthan	[26.9124, 75.7873]	9	Blue Pottery Specialty	Glazed pottery constructed utilizing quartz stone powder composite alternative instead of regular clay mud.	Master craft specialist creating premium Blue Pottery. Registered generational family unit.	Artisan Cluster, Jaipur, Rajasthan	N/A	Artisan RAJ-103
Artisan RAJ-104	Thewa Glass Jewellery	N/A	Pratapgarh	Rajasthan	[24.0322, 74.7812]	8	Thewa Glass Jewellery Specialty	Exquisite fusion of micro-carved sheets of gold sheet directly onto sheet glass colored tiles.	Master craft specialist creating premium Thewa Glass Jewellery. Registered generational family unit.	Artisan Cluster, Pratapgarh, Rajasthan	N/A	Artisan RAJ-104
Artisan RAJ-105	Lac Bangles	N/A	Jaipur	Rajasthan	[26.9200, 75.8200]	9	Lac Bangles Specialty	Hand-molded natural resin base bangles encrusted with mirrors and shiny rhinestones.	Master craft specialist creating premium Lac Bangles. Registered generational family unit.	Artisan Cluster, Jaipur, Rajasthan	N/A	Artisan RAJ-105
Artisan RAJ-106	Marble Carving	N/A	Makrana	Rajasthan	[27.0500, 74.7200]	8	Marble Carving Specialty	Precision marble masonry sculpting sacred icons from high-grade white stone quarries.	Master craft specialist creating premium Marble Carving. Registered generational family unit.	Artisan Cluster, Makrana, Rajasthan	N/A	Artisan RAJ-106
Artisan RAJ-107	Bandhej Tie-Dye	N/A	Jodhpur	Rajasthan	[26.2389, 73.0243]	9	Bandhej Tie-Dye Specialty	Fine resist-dye technique forming micro dot grids entirely hand-knotted.	Master craft specialist creating premium Bandhej Tie-Dye. Registered generational family unit.	Artisan Cluster, Jodhpur, Rajasthan	N/A	Artisan RAJ-107
Artisan RAJ-108	Block Printing	N/A	Sanganer	Rajasthan	[26.8167, 75.7833]	8	Block Printing Specialty	Symmetrical floral patterns hand-stamped onto cotton textiles using carved wooden blocks.	Master craft specialist creating premium Block Printing. Registered generational family unit.	Artisan Cluster, Sanganer, Rajasthan	N/A	Artisan RAJ-108
Artisan RAJ-109	Blue Pottery	N/A	Jaipur	Rajasthan	[26.9124, 75.7873]	9	Blue Pottery Specialty	Glazed pottery constructed utilizing quartz stone powder composite alternative instead of regular clay mud.	Master craft specialist creating premium Blue Pottery. Registered generational family unit.	Artisan Cluster, Jaipur, Rajasthan	N/A	Artisan RAJ-109
Artisan RAJ-110	Thewa Glass Jewellery	N/A	Pratapgarh	Rajasthan	[24.0322, 74.7812]	8	Thewa Glass Jewellery Specialty	Exquisite fusion of micro-carved sheets of gold sheet directly onto sheet glass colored tiles.	Master craft specialist creating premium Thewa Glass Jewellery. Registered generational family unit.	Artisan Cluster, Pratapgarh, Rajasthan	N/A	Artisan RAJ-110
Artisan RAJ-111	Lac Bangles	N/A	Jaipur	Rajasthan	[26.9200, 75.8200]	9	Lac Bangles Specialty	Hand-molded natural resin base bangles encrusted with mirrors and shiny rhinestones.	Master craft specialist creating premium Lac Bangles. Registered generational family unit.	Artisan Cluster, Jaipur, Rajasthan	N/A	Artisan RAJ-111
Artisan RAJ-112	Marble Carving	N/A	Makrana	Rajasthan	[27.0500, 74.7200]	8	Marble Carving Specialty	Precision marble masonry sculpting sacred icons from high-grade white stone quarries.	Master craft specialist creating premium Marble Carving. Registered generational family unit.	Artisan Cluster, Makrana, Rajasthan	N/A	Artisan RAJ-112
Artisan RAJ-113	Bandhej Tie-Dye	N/A	Jodhpur	Rajasthan	[26.2389, 73.0243]	9	Bandhej Tie-Dye Specialty	Fine resist-dye technique forming micro dot grids entirely hand-knotted.	Master craft specialist creating premium Bandhej Tie-Dye. Registered generational family unit.	Artisan Cluster, Jodhpur, Rajasthan	N/A	Artisan RAJ-113
Artisan RAJ-114	Block Printing	N/A	Sanganer	Rajasthan	[26.8167, 75.7833]	8	Block Printing Specialty	Symmetrical floral patterns hand-stamped onto cotton textiles using carved wooden blocks.	Master craft specialist creating premium Block Printing. Registered generational family unit.	Artisan Cluster, Sanganer, Rajasthan	N/A	Artisan RAJ-114
Artisan RAJ-115	Blue Pottery	N/A	Jaipur	Rajasthan	[26.9124, 75.7873]	9	Blue Pottery Specialty	Glazed pottery constructed utilizing quartz stone powder composite alternative instead of regular clay mud.	Master craft specialist creating premium Blue Pottery. Registered generational family unit.	Artisan Cluster, Jaipur, Rajasthan	N/A	Artisan RAJ-115
Artisan GUJ-101	Bandhani Textiles	N/A	Jamnagar	Gujarat	[22.4707, 70.0577]	9	Bandhani Textiles Specialty	Traditional multi-colored tie-dye textiles symbolizing marital celebration lines.	Master craft specialist creating premium Bandhani Textiles. Registered generational family unit.	Artisan Cluster, Jamnagar, Gujarat	N/A	Artisan GUJ-101
Artisan GUJ-102	Patola Double Ikat	N/A	Patan	Gujarat	[23.8503, 72.1259]	8	Patola Double Ikat Specialty	Symmetrical ikat fabric where both horizontal warp and vertical weft patterns match perfectly.	Master craft specialist creating premium Patola Double Ikat. Registered generational family unit.	Artisan Cluster, Patan, Gujarat	N/A	Artisan GUJ-102
Artisan GUJ-103	Kutch Embroidery	N/A	Bhuj	Gujarat	[23.2428, 69.6669]	9	Kutch Embroidery Specialty	Heavy chain-stitch needlework integrated with mirrors and micro glass frames.	Master craft specialist creating premium Kutch Embroidery. Registered generational family unit.	Artisan Cluster, Bhuj, Gujarat	N/A	Artisan GUJ-103
Artisan GUJ-104	Rogan Paint Art	N/A	Nirona	Gujarat	[23.3512, 69.5843]	8	Rogan Paint Art Specialty	Thick castor-oil based pigment painted using freehand styling tools onto cotton wraps.	Master craft specialist creating premium Rogan Paint Art. Registered generational family unit.	Artisan Cluster, Nirona, Gujarat	N/A	Artisan GUJ-104
Artisan GUJ-105	Bandhani Textiles	N/A	Jamnagar	Gujarat	[22.4707, 70.0577]	9	Bandhani Textiles Specialty	Traditional multi-colored tie-dye textiles symbolizing marital celebration lines.	Master craft specialist creating premium Bandhani Textiles. Registered generational family unit.	Artisan Cluster, Jamnagar, Gujarat	N/A	Artisan GUJ-105
Artisan GUJ-106	Patola Double Ikat	N/A	Patan	Gujarat	[23.8503, 72.1259]	8	Patola Double Ikat Specialty	Symmetrical ikat fabric where both horizontal warp and vertical weft patterns match perfectly.	Master craft specialist creating premium Patola Double Ikat. Registered generational family unit.	Artisan Cluster, Patan, Gujarat	N/A	Artisan GUJ-106
Artisan GUJ-107	Kutch Embroidery	N/A	Bhuj	Gujarat	[23.2428, 69.6669]	9	Kutch Embroidery Specialty	Heavy chain-stitch needlework integrated with mirrors and micro glass frames.	Master craft specialist creating premium Kutch Embroidery. Registered generational family unit.	Artisan Cluster, Bhuj, Gujarat	N/A	Artisan GUJ-107
Artisan GUJ-108	Rogan Paint Art	N/A	Nirona	Gujarat	[23.3512, 69.5843]	8	Rogan Paint Art Specialty	Thick castor-oil based pigment painted using freehand styling tools onto cotton wraps.	Master craft specialist creating premium Rogan Paint Art. Registered generational family unit.	Artisan Cluster, Nirona, Gujarat	N/A	Artisan GUJ-108
Artisan GUJ-109	Bandhani Textiles	N/A	Jamnagar	Gujarat	[22.4707, 70.0577]	9	Bandhani Textiles Specialty	Traditional multi-colored tie-dye textiles symbolizing marital celebration lines.	Master craft specialist creating premium Bandhani Textiles. Registered generational family unit.	Artisan Cluster, Jamnagar, Gujarat	N/A	Artisan GUJ-109
Artisan GUJ-110	Patola Double Ikat	N/A	Patan	Gujarat	[23.8503, 72.1259]	8	Patola Double Ikat Specialty	Symmetrical ikat fabric where both horizontal warp and vertical weft patterns match perfectly.	Master craft specialist creating premium Patola Double Ikat. Registered generational family unit.	Artisan Cluster, Patan, Gujarat	N/A	Artisan GUJ-110
Artisan GUJ-111	Kutch Embroidery	N/A	Bhuj	Gujarat	[23.2428, 69.6669]	9	Kutch Embroidery Specialty	Heavy chain-stitch needlework integrated with mirrors and micro glass frames.	Master craft specialist creating premium Kutch Embroidery. Registered generational family unit.	Artisan Cluster, Bhuj, Gujarat	N/A	Artisan GUJ-111
Artisan GUJ-112	Rogan Paint Art	N/A	Nirona	Gujarat	[23.3512, 69.5843]	8	Rogan Paint Art Specialty	Thick castor-oil based pigment painted using freehand styling tools onto cotton wraps.	Master craft specialist creating premium Rogan Paint Art. Registered generational family unit.	Artisan Cluster, Nirona, Gujarat	N/A	Artisan GUJ-112
Artisan GUJ-113	Bandhani Textiles	N/A	Jamnagar	Gujarat	[22.4707, 70.0577]	9	Bandhani Textiles Specialty	Traditional multi-colored tie-dye textiles symbolizing marital celebration lines.	Master craft specialist creating premium Bandhani Textiles. Registered generational family unit.	Artisan Cluster, Jamnagar, Gujarat	N/A	Artisan GUJ-113
Artisan GUJ-114	Patola Double Ikat	N/A	Patan	Gujarat	[23.8503, 72.1259]	8	Patola Double Ikat Specialty	Symmetrical ikat fabric where both horizontal warp and vertical weft patterns match perfectly.	Master craft specialist creating premium Patola Double Ikat. Registered generational family unit.	Artisan Cluster, Patan, Gujarat	N/A	Artisan GUJ-114
Artisan GUJ-115	Kutch Embroidery	N/A	Bhuj	Gujarat	[23.2428, 69.6669]	9	Kutch Embroidery Specialty	Heavy chain-stitch needlework integrated with mirrors and micro glass frames.	Master craft specialist creating premium Kutch Embroidery. Registered generational family unit.	Artisan Cluster, Bhuj, Gujarat	N/A	Artisan GUJ-115
Artisan MAH-101	Paithani Sarees	N/A	Aurangabad	Maharashtra	[19.8762, 75.3433]	9	Paithani Sarees Specialty	Pure silk saris featuring unique oblique square border frames and peacock pallus.	Master craft specialist creating premium Paithani Sarees. Registered generational family unit.	Artisan Cluster, Aurangabad, Maharashtra	2	Artisan MAH-101
Artisan MAH-102	Warli Tribal Art	N/A	Palghar	Maharashtra	[19.6973, 72.7645]	8	Warli Tribal Art Specialty	Mono-chromatic white rice-paste graphics on red ochre mud plaster backings.	Master craft specialist creating premium Warli Tribal Art. Registered generational family unit.	Artisan Cluster, Palghar, Maharashtra	N/A	Artisan MAH-102
Artisan MAH-103	Kolhapuri Chappals	N/A	Kolhapur	Maharashtra	[16.7050, 74.2433]	9	Kolhapuri Chappals Specialty	Hard-wearing vegetable-tanned leather sandals constructed with hand-woven piping strands.	Master craft specialist creating premium Kolhapuri Chappals. Registered generational family unit.	Artisan Cluster, Kolhapur, Maharashtra	N/A	Artisan MAH-103
Artisan MAH-104	Paithani Sarees	N/A	Aurangabad	Maharashtra	[19.8762, 75.3433]	8	Paithani Sarees Specialty	Pure silk saris featuring unique oblique square border frames and peacock pallus.	Master craft specialist creating premium Paithani Sarees. Registered generational family unit.	Artisan Cluster, Aurangabad, Maharashtra	2	Artisan MAH-104
Artisan MAH-105	Warli Tribal Art	N/A	Palghar	Maharashtra	[19.6973, 72.7645]	9	Warli Tribal Art Specialty	Mono-chromatic white rice-paste graphics on red ochre mud plaster backings.	Master craft specialist creating premium Warli Tribal Art. Registered generational family unit.	Artisan Cluster, Palghar, Maharashtra	N/A	Artisan MAH-105
Artisan MAH-106	Kolhapuri Chappals	N/A	Kolhapur	Maharashtra	[16.7050, 74.2433]	8	Kolhapuri Chappals Specialty	Hard-wearing vegetable-tanned leather sandals constructed with hand-woven piping strands.	Master craft specialist creating premium Kolhapuri Chappals. Registered generational family unit.	Artisan Cluster, Kolhapur, Maharashtra	N/A	Artisan MAH-106
Artisan MAH-107	Paithani Sarees	N/A	Aurangabad	Maharashtra	[19.8762, 75.3433]	9	Paithani Sarees Specialty	Pure silk saris featuring unique oblique square border frames and peacock pallus.	Master craft specialist creating premium Paithani Sarees. Registered generational family unit.	Artisan Cluster, Aurangabad, Maharashtra	2	Artisan MAH-107
Artisan MAH-108	Warli Tribal Art	N/A	Palghar	Maharashtra	[19.6973, 72.7645]	8	Warli Tribal Art Specialty	Mono-chromatic white rice-paste graphics on red ochre mud plaster backings.	Master craft specialist creating premium Warli Tribal Art. Registered generational family unit.	Artisan Cluster, Palghar, Maharashtra	N/A	Artisan MAH-108
Artisan MAH-109	Kolhapuri Chappals	N/A	Kolhapur	Maharashtra	[16.7050, 74.2433]	9	Kolhapuri Chappals Specialty	Hard-wearing vegetable-tanned leather sandals constructed with hand-woven piping strands.	Master craft specialist creating premium Kolhapuri Chappals. Registered generational family unit.	Artisan Cluster, Kolhapur, Maharashtra	N/A	Artisan MAH-109
Artisan MAH-110	Paithani Sarees	N/A	Aurangabad	Maharashtra	[19.8762, 75.3433]	8	Paithani Sarees Specialty	Pure silk saris featuring unique oblique square border frames and peacock pallus.	Master craft specialist creating premium Paithani Sarees. Registered generational family unit.	Artisan Cluster, Aurangabad, Maharashtra	2	Artisan MAH-110
Artisan MAH-111	Warli Tribal Art	N/A	Palghar	Maharashtra	[19.6973, 72.7645]	9	Warli Tribal Art Specialty	Mono-chromatic white rice-paste graphics on red ochre mud plaster backings.	Master craft specialist creating premium Warli Tribal Art. Registered generational family unit.	Artisan Cluster, Palghar, Maharashtra	N/A	Artisan MAH-111
Artisan MAH-112	Kolhapuri Chappals	N/A	Kolhapur	Maharashtra	[16.7050, 74.2433]	8	Kolhapuri Chappals Specialty	Hard-wearing vegetable-tanned leather sandals constructed with hand-woven piping strands.	Master craft specialist creating premium Kolhapuri Chappals. Registered generational family unit.	Artisan Cluster, Kolhapur, Maharashtra	N/A	Artisan MAH-112
Artisan MAH-113	Paithani Sarees	N/A	Aurangabad	Maharashtra	[19.8762, 75.3433]	9	Paithani Sarees Specialty	Pure silk saris featuring unique oblique square border frames and peacock pallus.	Master craft specialist creating premium Paithani Sarees. Registered generational family unit.	Artisan Cluster, Aurangabad, Maharashtra	2	Artisan MAH-113
Artisan MAH-114	Warli Tribal Art	N/A	Palghar	Maharashtra	[19.6973, 72.7645]	8	Warli Tribal Art Specialty	Mono-chromatic white rice-paste graphics on red ochre mud plaster backings.	Master craft specialist creating premium Warli Tribal Art. Registered generational family unit.	Artisan Cluster, Palghar, Maharashtra	N/A	Artisan MAH-114
Artisan MAH-115	Kolhapuri Chappals	N/A	Kolhapur	Maharashtra	[16.7050, 74.2433]	9	Kolhapuri Chappals Specialty	Hard-wearing vegetable-tanned leather sandals constructed with hand-woven piping strands.	Master craft specialist creating premium Kolhapuri Chappals. Registered generational family unit.	Artisan Cluster, Kolhapur, Maharashtra	N/A	Artisan MAH-115
Artisan GOA-101	Handloom Textile	N/A	Central District	Goa	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Goa	N/A	Artisan GOA-101
Artisan GOA-102	Terracotta Clay Art	N/A	East District	Goa	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Goa	N/A	Artisan GOA-102
Artisan GOA-103	Bamboo Basketry	N/A	North District	Goa	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Goa	N/A	Artisan GOA-103
Artisan GOA-104	Handloom Textile	N/A	Central District	Goa	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Goa	N/A	Artisan GOA-104
Artisan GOA-105	Terracotta Clay Art	N/A	East District	Goa	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Goa	N/A	Artisan GOA-105
Artisan GOA-106	Bamboo Basketry	N/A	North District	Goa	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Goa	N/A	Artisan GOA-106
Artisan GOA-107	Handloom Textile	N/A	Central District	Goa	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Goa	N/A	Artisan GOA-107
Artisan GOA-108	Terracotta Clay Art	N/A	East District	Goa	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Goa	N/A	Artisan GOA-108
Artisan GOA-109	Bamboo Basketry	N/A	North District	Goa	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Goa	N/A	Artisan GOA-109
Artisan GOA-110	Handloom Textile	N/A	Central District	Goa	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Goa	N/A	Artisan GOA-110
Artisan GOA-111	Terracotta Clay Art	N/A	East District	Goa	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Goa	N/A	Artisan GOA-111
Artisan GOA-112	Bamboo Basketry	N/A	North District	Goa	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Goa	N/A	Artisan GOA-112
Artisan GOA-113	Handloom Textile	N/A	Central District	Goa	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Goa	N/A	Artisan GOA-113
Artisan GOA-114	Terracotta Clay Art	N/A	East District	Goa	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Goa	N/A	Artisan GOA-114
Artisan GOA-115	Bamboo Basketry	N/A	North District	Goa	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Goa	N/A	Artisan GOA-115
Artisan WES-101	Kantha Embroidery	N/A	Bolpur	West Bengal	[23.6662, 87.6833]	9	Kantha Embroidery Specialty	Running stitch layouts transforming layered old cotton saris into micro quilts.	Master craft specialist creating premium Kantha Embroidery. Registered generational family unit.	Artisan Cluster, Bolpur, West Bengal	N/A	Artisan WES-101
Artisan WES-102	Dhokra Metal Craft	N/A	Bikna	West Bengal	[23.2500, 87.0800]	8	Dhokra Metal Craft Specialty	Non-ferrous cire-perdue lost-wax metal castings utilizing traditional soil core molds.	Master craft specialist creating premium Dhokra Metal Craft. Registered generational family unit.	Artisan Cluster, Bikna, West Bengal	N/A	Artisan WES-102
Artisan WES-103	Patachitra Painting	N/A	Pingla	West Bengal	[22.2642, 87.5843]	9	Patachitra Painting Specialty	Long hand-painted mythical story scrolls paired with oral ballad performances.	Master craft specialist creating premium Patachitra Painting. Registered generational family unit.	Artisan Cluster, Pingla, West Bengal	N/A	Artisan WES-103
Artisan WES-104	Shola Pith Craft	N/A	Nadia	West Bengal	[23.4700, 88.5500]	8	Shola Pith Craft Specialty	Fine sponge-wood architectural and bridal decorations carved from natural marshy plant stems.	Master craft specialist creating premium Shola Pith Craft. Registered generational family unit.	Artisan Cluster, Nadia, West Bengal	N/A	Artisan WES-104
Artisan WES-105	Kantha Embroidery	N/A	Bolpur	West Bengal	[23.6662, 87.6833]	9	Kantha Embroidery Specialty	Running stitch layouts transforming layered old cotton saris into micro quilts.	Master craft specialist creating premium Kantha Embroidery. Registered generational family unit.	Artisan Cluster, Bolpur, West Bengal	N/A	Artisan WES-105
Artisan WES-106	Dhokra Metal Craft	N/A	Bikna	West Bengal	[23.2500, 87.0800]	8	Dhokra Metal Craft Specialty	Non-ferrous cire-perdue lost-wax metal castings utilizing traditional soil core molds.	Master craft specialist creating premium Dhokra Metal Craft. Registered generational family unit.	Artisan Cluster, Bikna, West Bengal	N/A	Artisan WES-106
